ticker,fy,filed,ni,equity,cfo,assets,assets_cur,liab_cur,ltd,revenue,gross,shares
HEI,2025,2025-12-22,403596000.0,3636877000.0,448735000.0,7592822000.0,2062292000.0,663851000.0,,2968105000.0,,138905000.0
HII,2011,2012-03-29,124000000.0,961000000.0,-88000000.0,5203000000.0,1313000000.0,2226000000.0,105000000.0,,,48800000.0
HII,2012,2013-02-27,131000000.0,1433000000.0,359000000.0,5240000000.0,2268000000.0,1372000000.0,1830000000.0,,,48800000.0
HII,2013,2014-02-27,-100000000.0,1407000000.0,528000000.0,6069000000.0,2484000000.0,1384000000.0,1779000000.0,,,48800000.0
HII,2014,2015-02-19,146000000.0,859000000.0,332000000.0,6392000000.0,2676000000.0,1392000000.0,1700000000.0,,,50100000.0
HII,2015,2016-02-18,261000000.0,667000000.0,236000000.0,6190000000.0,2417000000.0,1312000000.0,1562000000.0,,,50400000.0
HII,2016,2017-02-16,338000000.0,1521000000.0,755000000.0,6239000000.0,2284000000.0,1274000000.0,1273000000.0,,,49300000.0
HII,2017,2018-02-15,404000000.0,1365000000.0,861000000.0,6024000000.0,2142000000.0,1343000000.0,1278000000.0,,,48300000.0
HII,2018,2019-02-14,573000000.0,1490000000.0,822000000.0,6352000000.0,2195000000.0,1391000000.0,1279000000.0,7068000000.0,,47200000.0
HII,2019,2020-02-13,479000000.0,1653000000.0,814000000.0,6374000000.0,1745000000.0,1829000000.0,1283000000.0,7441000000.0,,45800000.0
HII,2020,2021-02-11,836000000.0,1758000000.0,914000000.0,6383000000.0,1785000000.0,1890000000.0,1286000000.0,8176000000.0,,43800000.0
HII,2021,2022-02-10,549000000.0,1516000000.0,896000000.0,7031000000.0,2444000000.0,2226000000.0,1686000000.0,8899000000.0,,41400000.0
HII,2022,2023-02-09,696000000.0,1588000000.0,1093000000.0,8157000000.0,2790000000.0,2427000000.0,3298000000.0,9361000000.0,,40600000.0
HII,2023,2024-02-01,544000000.0,1901000000.0,760000000.0,10627000000.0,2746000000.0,2895000000.0,2506000000.0,9524000000.0,,40300000.0
HII,2024,2025-02-06,579000000.0,2808000000.0,766000000.0,11215000000.0,2880000000.0,3032000000.0,,10676000000.0,,40100000.0
HII,2025,2026-02-05,681000000.0,3489000000.0,970000000.0,12141000000.0,3228000000.0,2991000000.0,,11454000000.0,,39900000.0
HON,2010,2011-02-11,806000000.0,8861000000.0,3791000000.0,,13936000000.0,11147000000.0,7264000000.0,36556000000.0,6896000000.0,743600000.0
HON,2011,2012-02-17,1548000000.0,10666000000.0,3946000000.0,35993000000.0,15486000000.0,11724000000.0,6278000000.0,29951000000.0,7629000000.0,755700000.0
HON,2012,2013-02-15,2022000000.0,10806000000.0,4203000000.0,37834000000.0,16134000000.0,12275000000.0,6896000000.0,,7973000000.0,780900000.0
HON,2013,2014-02-14,2067000000.0,12975000000.0,2833000000.0,39808000000.0,17598000000.0,13045000000.0,7020000000.0,,9374000000.0,791600000.0
HON,2014,2015-02-13,2926000000.0,17467000000.0,,41853000000.0,21164000000.0,14181000000.0,7433000000.0,,10691000000.0,791900000.0
HON,2015,2016-02-12,3924000000.0,17657000000.0,,45435000000.0,22191000000.0,14773000000.0,6985000000.0,,11349000000.0,797300000.0
HON,2016,2017-02-10,4239000000.0,18283000000.0,,45451000000.0,20053000000.0,18371000000.0,6131000000.0,,11834000000.0,795200000.0
HON,2017,2018-02-09,4768000000.0,19369000000.0,5519000000.0,49316000000.0,23058000000.0,16331000000.0,12409000000.0,,12152000000.0,789300000.0
HON,2018,2019-02-08,4812000000.0,16502000000.0,5498000000.0,54566000000.0,26002000000.0,18861000000.0,13924000000.0,,12390000000.0,775300000.0
HON,2019,2020-02-14,1545000000.0,18180000000.0,5966000000.0,59470000000.0,24362000000.0,18924000000.0,12628000000.0,,12756000000.0,772100000.0
HON,2020,2021-02-12,6765000000.0,18494000000.0,6434000000.0,57773000000.0,24303000000.0,18098000000.0,12486000000.0,,12370000000.0,753000000.0
HON,2022,2023-02-10,4779000000.0,18569000000.0,6208000000.0,64586000000.0,25372000000.0,19508000000.0,16057000000.0,,,711200000.0
HON,2023,2024-02-16,5542000000.0,16697000000.0,6038000000.0,62275000000.0,24982000000.0,19938000000.0,16853000000.0,,,700400000.0
HON,2024,2025-02-14,4966000000.0,15856000000.0,5274000000.0,61525000000.0,23502000000.0,18539000000.0,27265000000.0,,,683100000.0
HON,2025,2026-02-17,5658000000.0,18619000000.0,5340000000.0,75196000000.0,27908000000.0,21256000000.0,29046000000.0,,,668200000.0
HOOD,2021,2022-02-24,-106569000.0,-21482000.0,1260085000.0,10988474000.0,10872584000.0,8816045000.0,,277533000.0,,221664610.0
HOOD,2022,2023-02-27,7000000.0,-97000000.0,1876000000.0,19769000000.0,19283000000.0,12347000000.0,,958000000.0,,244997388.0
HOOD,2023,2024-02-27,-3687000000.0,-55000000.0,-885000000.0,23337000000.0,22917000000.0,16253000000.0,,1815000000.0,,492381190.0
HOOD,2024,2025-02-18,-1028000000.0,7293000000.0,-852000000.0,17624000000.0,17082000000.0,10837000000.0,,1358000000.0,,878630024.0
HOOD,2025,2026-02-18,-541000000.0,,1181000000.0,26187000000.0,25103000000.0,18104000000.0,,1865000000.0,,890857659.0
HPE,2015,2015-12-17,2051000000.0,36776000000.0,,65071000000.0,22031000000.0,19760000000.0,,57371000000.0,,1834000000.0
HPE,2016,2016-12-15,1648000000.0,33535000000.0,6911000000.0,79916000000.0,29964000000.0,21993000000.0,,55123000000.0,,1834000000.0
HPE,2017,2017-12-15,2461000000.0,31448000000.0,3661000000.0,79629000000.0,28917000000.0,22529000000.0,,31077000000.0,,1834000000.0
HPE,2018,2018-12-12,3161000000.0,23466000000.0,5056000000.0,61406000000.0,21444000000.0,18924000000.0,,30280000000.0,,1739000000.0
HPE,2019,2019-12-13,344000000.0,21239000000.0,1335000000.0,55493000000.0,17272000000.0,17198000000.0,,28871000000.0,,1674000000.0
HPE,2020,2020-12-10,1908000000.0,17098000000.0,2964000000.0,51803000000.0,15143000000.0,19159000000.0,14797000000.0,30852000000.0,,1553000000.0
HPE,2021,2021-12-10,1049000000.0,16049000000.0,3997000000.0,54015000000.0,16556000000.0,18738000000.0,12457000000.0,29135000000.0,,1366000000.0
HPE,2022,2022-12-08,-322000000.0,19971000000.0,2240000000.0,57699000000.0,18878000000.0,20687000000.0,11943000000.0,26982000000.0,,1294000000.0
HPE,2023,2023-12-22,3427000000.0,19864000000.0,5871000000.0,57123000000.0,20506000000.0,23174000000.0,11694000000.0,27784000000.0,,1330000000.0
HPE,2024,2024-12-19,868000000.0,21182000000.0,4593000000.0,57153000000.0,18948000000.0,21882000000.0,17660000000.0,28496000000.0,,1322000000.0
HPE,2025,2025-12-18,2025000000.0,24816000000.0,4428000000.0,71262000000.0,33457000000.0,25973000000.0,17660000000.0,29135000000.0,,1316000000.0
HUM,2010,2011-02-18,647154000.0,4028937000.0,982310000.0,14153494000.0,9252816000.0,5259992000.0,1678166000.0,28946372000.0,,169187000.0
HUM,2011,2012-02-24,1040000000.0,4457000000.0,1422000000.0,16103000000.0,10137000000.0,5744000000.0,1669000000.0,30743000000.0,,169071000.0
HUM,2012,2013-02-22,1099000000.0,5776000000.0,2242000000.0,17708000000.0,11181000000.0,6056000000.0,1659000000.0,33596000000.0,,169798000.0
HUM,2013,2014-02-19,1419000000.0,6924000000.0,2079000000.0,19979000000.0,11710000000.0,6375000000.0,2611000000.0,36832000000.0,,167827000.0
HUM,2014,2015-02-18,1222000000.0,8063000000.0,1923000000.0,20735000000.0,12300000000.0,6323000000.0,2600000000.0,39126000000.0,,163457000.0
