strategy,ticker,side,entry_date,entry_px,exit_date,exit_px,net,excess,regime
BOLL_SNAP,DASH,1,2026-07-25,172.91,2026-07-29,193.53,0.11725,0.13007,calm-down
RSI2_DIP,NBIS,1,2026-07-25,187.77,2026-07-29,148.22,-0.21263,-0.19981,calm-down
BOLL_SNAP,INOD,1,2026-07-25,55.89,2026-07-29,55.4,-0.01077,0.00205,calm-down
RSI2_DIP,EBAY,1,2026-07-25,109.39,2026-07-29,115.3,0.05203,0.06484,calm-down
RSI2_DIP,NVDA,1,2026-07-25,206.84,2026-07-29,190.01,-0.08337,-0.07055,calm-down
RSI2_DIP,TSM,1,2026-07-25,403.41,2026-07-29,374.67,-0.07324,-0.06043,calm-down
RSI2_DIP,MRVL,1,2026-07-25,194.23,2026-07-29,163.4,-0.16073,-0.14791,calm-down
RSI2_DIP,ARM,1,2026-07-25,260.01,2026-07-29,224.89,-0.13707,-0.12426,calm-down
RSI2_DIP,TXN,1,2026-07-25,279.58,2026-07-29,271.3,-0.03162,-0.0188,calm-down
RSI2_DIP,NXPI,1,2026-07-25,269.24,2026-07-29,240.98,-0.10696,-0.09415,calm-down
RSI2_DIP,INTC,1,2026-07-25,92.32,2026-07-29,81.88,-0.11508,-0.10227,calm-down
RSI2_DIP,ON,1,2026-07-25,86.81,2026-07-29,78.86,-0.09358,-0.08076,calm-down
RSI2_DIP,MCHP,1,2026-07-25,78.86,2026-07-29,71.37,-0.09698,-0.08416,calm-down
RSI2_DIP,MPWR,1,2026-07-25,1333.81,2026-07-29,1248.76,-0.06576,-0.05295,calm-down
RSI2_DIP,LRCX,1,2026-07-25,305.21,2026-07-29,252.35,-0.17519,-0.16238,calm-down
RSI2_DIP,GFS,1,2026-07-25,53.53,2026-07-29,47.07,-0.12268,-0.10986,calm-down
RSI2_DIP,WDC,1,2026-07-25,519.8,2026-07-29,462.04,-0.11312,-0.1003,calm-down
RSI2_DIP,SNDK,1,2026-07-25,1436.56,2026-07-29,1015.89,-0.29483,-0.28202,calm-down
RSI2_DIP,DELL,1,2026-07-25,437.5,2026-07-29,369.64,-0.15711,-0.14429,calm-down
BOLL_SNAP,SOFI,1,2026-07-25,16.46,2026-07-29,15.25,-0.07551,-0.0627,calm-down
BOLL_SNAP,MOH,1,2026-07-25,197.55,2026-07-29,199.02,0.00544,0.01826,calm-down
RSI2_DIP,MOH,1,2026-07-25,197.55,2026-07-29,199.02,0.00544,0.01826,calm-down
RSI2_DIP,HUM,1,2026-07-25,389.32,2026-07-29,365.41,-0.06341,-0.0506,calm-down
BOLL_SNAP,CTMX,1,2026-07-25,3.24,2026-07-29,3.17,-0.0236,-0.01079,calm-down
RSI2_DIP,AVA,1,2026-07-25,42.05,2026-07-29,41.48,-0.01556,-0.00274,calm-down
RSI2_DIP,HPE,1,2026-07-25,47.69,2026-07-29,44.44,-0.07015,-0.05733,calm-down
RSI2_DIP,AMD,1,2026-07-25,521.95,2026-07-29,429.56,-0.17901,-0.16619,calm-down
RSI2_DIP,AVGO,1,2026-07-25,381.92,2026-07-29,370.32,-0.03237,-0.01956,calm-down
RSI2_DIP,ASML,1,2026-07-25,1757.09,2026-07-29,1550.69,-0.11947,-0.10665,calm-down
RSI2_DIP,ADI,1,2026-07-25,371.86,2026-07-29,353.37,-0.05172,-0.03891,calm-down
RSI2_DIP,STX,1,2026-07-25,851.69,2026-07-29,764.43,-0.10446,-0.09164,calm-down
REVERSAL_3,CRWD,1,2026-07-28,180.11,2026-07-29,179.38,-0.00605,0.00698,calm-down
REVERSAL_3,PANW,1,2026-07-28,317.32,2026-07-29,314.15,-0.01199,0.00104,calm-down
PANIC_LITE,NVDA,1,2026-07-28,196.51,2026-07-29,190.01,-0.03508,-0.02205,calm-down
REVERSAL_3,NVDA,1,2026-07-28,196.51,2026-07-29,190.01,-0.03508,-0.02205,calm-down
PANIC_BOUNCE,AMD,1,2026-07-28,494.95,2026-07-29,429.56,-0.13411,-0.12108,calm-down
REVERSAL_3,AMD,1,2026-07-28,494.95,2026-07-29,429.56,-0.13411,-0.12108,calm-down
REVERSAL_3,MRVL,1,2026-07-28,189.17,2026-07-29,163.4,-0.13823,-0.1252,calm-down
PANIC_BOUNCE,ASML,1,2026-07-28,1655.26,2026-07-29,1550.69,-0.06517,-0.05214,calm-down
PANIC_LITE,ASML,1,2026-07-28,1655.26,2026-07-29,1550.69,-0.06517,-0.05214,calm-down
REVERSAL_3,TXN,1,2026-07-28,279.41,2026-07-29,271.3,-0.03103,-0.018,calm-down
REVERSAL_3,NXPI,1,2026-07-28,267.67,2026-07-29,240.98,-0.10171,-0.08868,calm-down
REVERSAL_3,MCHP,1,2026-07-28,77.9,2026-07-29,71.37,-0.08583,-0.0728,calm-down
REVERSAL_3,DELL,1,2026-07-28,426.91,2026-07-29,369.64,-0.13615,-0.12312,calm-down
PANIC_LITE,HUM,1,2026-07-28,381.15,2026-07-29,365.41,-0.0433,-0.03027,calm-down
PANIC_LITE,CGNX,1,2026-07-28,61.29,2026-07-29,57.82,-0.05862,-0.04559,calm-down
REVERSAL_3,AVA,1,2026-07-28,41.55,2026-07-29,41.48,-0.00368,0.00934,calm-down
PANIC_LITE,LASR,1,2026-07-28,67.78,2026-07-29,59.07,-0.1305,-0.11747,calm-down
PANIC_BOUNCE,KDEF,1,2026-07-28,36.32,2026-07-29,33.58,-0.07744,-0.06441,calm-down
REVERSAL_3,GFS,1,2026-07-29,53.18,2026-07-29,47.07,-0.11689,-0.10386,calm-down
